"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value","taxa","stats"
"1","depth","500-10",0,13.0541833333333,5.4756713304369,20.6326953362297,5.39858332522236e-05,"metazoa","obs"
"2","depth","300-10",0,14.9527666666667,7.37425466377024,22.5312786695631,3.29227781992181e-06,"metazoa","obs"
"3","depth","1000-10",0,16.94135,9.36283799710357,24.5198620028964,1.57057482685907e-07,"metazoa","obs"
"4","depth","800-10",0,19.00235,11.4238379971036,26.5808620028964,6.29264007567798e-09,"metazoa","obs"
"5","depth","500-100",0,8.83733333333332,1.6115056564229,16.0631610102437,0.00799938809270573,"metazoa","obs"
"6","depth","300-100",0,10.7359166666667,3.51008898975623,17.9617443435771,0.000651539452084959,"metazoa","obs"
"7","depth","1000-100",0,12.7245,5.49867232308957,19.9503276769104,3.54670402821222e-05,"metazoa","obs"
"8","depth","800-100",0,14.7855,7.55967232308956,22.0113276769104,1.42249326517963e-06,"metazoa","obs"
"9","depth","300-10",0,0.624876742279025,0.0797111288793236,1.17004235567873,0.015579316052961,"metazoa","shannon"
"10","depth","800-10",0,0.922267175850027,0.377101562450326,1.46743278924973,7.53785715890132e-05,"metazoa","shannon"
"11","depth","300-100",0,0.575816036539841,0.0560210192200999,1.09561105385958,0.0214607837688626,"metazoa","shannon"
"12","depth","800-100",0,0.873206470110843,0.353411452791102,1.39300148743058,8.56129398340011e-05,"metazoa","shannon"
"13","depth","800-1000",0,0.808400727116172,0.288605709796431,1.32819574443591,0.000319815315869665,"metazoa","shannon"
"14","depth","300-1000",0,0.165565463326329,0.021947398787988,0.309183527864669,0.0147317095793761,"metazoa","evenness"
"15","depth","800-1000",0,0.230746339831397,0.0871282752930565,0.374364404369738,0.000186785928268485,"metazoa","evenness"
"16","depth","800-100",0,0.168372948391601,0.0247548838532603,0.311991012929941,0.0124640977880205,"metazoa","evenness"
